neighborhood,total_cime_incidents,theft_from_motor_vehicle,auto_theft,public_disorder,larceny,all_other_crimes,burglary,drug_alcohol,other_crimes_against_persons,aggravated_assault,robbery,white_collar_crime,arson,murder
Athmar Park,3429,527,540,511,343,529,294,231,140,182,61,52,11,8
Auraria,2815,249,159,387,379,1173,69,140,154,60,17,21,6,1
Baker,6489,1087,875,1058,1289,480,565,465,222,209,125,87,25,2
Barnum,2712,280,338,382,198,732,182,222,88,176,44,40,26,4
Barnum West,1609,228,265,208,106,418,100,98,40,92,16,31,4,3
Bear Valley,2394,445,526,461,235,181,212,42,107,88,33,58,5,1
Belcaro,1461,373,222,198,262,68,183,17,27,24,24,57,6,0
Berkeley,2989,777,443,397,572,158,365,54,65,60,45,49,2,2
CBD,12179,1307,922,2010,2326,2369,379,1262,670,515,255,140,20,4
Capitol Hill,13475,2063,1513,2399,1826,1550,816,1668,645,535,282,135,34,9
Central Park,18139,2795,3250,2268,5320,1176,1289,465,509,458,344,230,23,12
Chaffee Park,1573,292,305,203,172,128,157,112,45,63,54,36,5,1
Cheesman Park,4334,820,590,740,679,336,362,351,192,122,79,52,8,3
Cherry Creek,4075,819,461,502,1445,121,384,20,74,36,97,110,6,0
City Park,1970,412,268,405,406,109,156,42,68,52,24,21,5,2
City Park West,4635,618,549,842,686,577,401,265,277,256,92,54,10,8
Civic Center,8223,516,308,951,541,2622,284,1474,907,428,98,75,15,4
Clayton,2422,259,292,345,356,556,171,122,89,130,63,30,4,5
Cole,2260,310,372,361,313,323,215,34,103,131,53,32,9,4
College View - South Platte,3797,418,543,539,575,549,370,216,169,221,96,77,16,8
Congress Park,3709,903,646,590,561,181,408,95,115,101,53,36,16,4
Cory - Merrill,2287,391,221,231,913,89,230,58,47,16,46,45,0,0
Country Club,827,242,130,126,119,27,148,6,7,8,4,10,0,0
DIA,16823,4033,4695,2015,3181,1459,212,191,310,162,79,472,8,6
East Colfax,8521,813,1230,1340,602,2021,589,706,319,490,251,122,13,25
Elyria Swansea,4741,698,1010,722,484,521,471,181,200,275,77,72,20,10
Five Points,22191,3892,2488,3794,2914,3128,1455,1524,1212,1178,354,173,60,19
Fort Logan,1652,402,303,279,140,155,120,19,98,84,8,44,0,0
Gateway - Green Valley Ranch,9783,1676,2769,1665,907,721,554,87,373,587,201,214,14,15
Globeville,3979,619,797,593,419,508,297,209,146,224,76,56,21,14
Goldsmith,3084,625,757,456,327,198,254,78,100,144,70,68,4,3
Hale,3332,797,588,599,492,223,315,37,75,81,47,65,10,3
Hampden,7638,1575,1869,1373,795,476,547,98,232,275,187,189,13,9
Hampden South,5834,1406,1270,962,773,297,405,195,138,125,79,171,9,4
Harvey Park,3207,534,505,525,355,436,227,107,155,217,67,62,14,3
Harvey Park South,2663,402,458,398,381,305,249,92,140,126,38,63,7,4
Highland,5854,1488,868,916,1059,333,646,73,177,139,72,68,10,5
Hilltop,2101,523,413,322,341,94,228,16,55,37,16,51,4,1
Indian Creek,691,169,157,128,88,36,47,4,12,14,5,28,1,2
Jefferson Park,2578,592,446,379,522,175,225,42,51,80,35,23,2,6
Kennedy,2172,346,602,359,146,198,141,72,94,125,45,35,5,4
Lincoln Park,8074,1173,1170,1459,1096,1026,575,317,588,376,152,103,28,11
Lowry Field,3947,899,747,758,595,227,352,30,136,93,44,59,2,5
Mar Lee,3764,537,655,620,337,640,219,165,194,229,80,70,7,11
Marston,2257,489,437,353,408,138,173,17,63,54,41,75,6,3
Montbello,10076,1440,2175,1613,848,1702,569,246,328,695,239,174,30,17
Montclair,2727,364,334,311,872,203,249,54,97,91,78,67,4,3
North Capitol Hill,7415,1030,691,1337,1007,987,507,775,445,346,135,129,23,3
North Park Hill,2012,412,367,298,263,224,198,29,64,77,25,48,5,2
Northeast Park Hill,6954,1054,1435,1038,782,883,553,180,364,341,106,188,23,7
Overland,2982,626,458,432,408,205,428,154,92,94,33,35,14,3
Platt Park,2323,659,355,321,355,91,378,29,53,27,18,31,5,1
Regis,1536,330,290,252,184,110,144,86,37,47,25,27,3,1
Rosedale,916,228,186,135,99,52,105,16,51,24,9,9,2,0
Ruby Hill,3405,456,612,536,295,499,291,165,165,224,76,72,7,7
Skyland,1056,202,161,157,127,161,104,18,55,42,14,14,0,1
Sloan Lake,2724,663,443,433,412,162,342,37,52,79,50,45,5,1
South Park Hill,2390,504,386,410,322,177,274,57,94,69,50,37,4,6
Southmoor Park,2059,604,453,346,242,83,140,28,59,40,17,46,1,0
Speer,6002,1485,1031,921,1194,305,534,96,135,104,78,100,16,3
Sun Valley,2221,199,249,364,277,408,152,164,175,144,63,15,7,4
Sunnyside,3874,758,678,653,478,344,398,107,108,153,102,84,10,1
Union Station,11035,1212,674,1508,2200,1923,571,1163,809,559,248,139,21,8
