neighborhood,program_count,total_cime_incidents,theft_from_motor_vehicle,auto_theft,public_disorder,larceny,all_other_crimes,burglary,drug_alcohol,other_crimes_against_persons,aggravated_assault,robbery,white_collar_crime,arson,murder,avgsocioeconscore,avgAccessToCareScore,avgMobidityScore,mortalityscore,avgBuiltEnvScore,avgOverallEquityScore,Total Population All,crime_per1000,theft_mv_per1000,auto_theft_per1000,disorder_per1000,larceny_per1000,other_per1000,burglary_per1000,drug_alcohol_per1000,crime_against_persons_per1000,assult_per1000,robbery_per1000,white_collar_per1000,arson_per1000,murder_per1000
Athmar Park,500.0,3429,527,540,511,343,529,294,231,140,182,61,52,11,8,1.0,2.0,3.0,3,2.5,2.29999995,8852,387.37008585630366,59.53456845910529,61.00316312697696,57.72706732941708,38.74830546769092,59.76050610031631,33.21283325802079,26.095797559873475,15.815634884771804,20.560325350203343,6.891098056936285,5.87437867148667,1.2426570266606416,0.9037505648441031
Auraria,13.0,2815,249,159,387,379,1173,69,140,154,60,17,21,6,1,5.0,3.5,3.0,5,4.5,4.19999981,717,3926.0808926080895,347.2803347280335,221.7573221757322,539.7489539748955,528.5913528591353,1635.9832635983264,96.23430962343096,195.25801952580196,214.78382147838215,83.68200836820083,23.709902370990235,29.288702928870293,8.368200836820083,1.3947001394700138
Baker,341.0,6489,1087,875,1058,1289,480,565,465,222,209,125,87,25,2,3.0,4.0,2.5,2,4.0,3.0999999,6438,1007.9217148182667,168.8412550481516,135.91177384280834,164.3367505436471,200.21745883814847,74.55731593662628,87.76017396707051,72.22739981360671,34.48275862068965,32.46349798073936,19.41596769182976,13.513513513513514,3.883193538365952,0.31065548306927615
Barnum,437.0,2712,280,338,382,198,732,182,222,88,176,44,40,26,4,1.0,2.0,3.0,2,2.0,2.0,5906,459.19403995936335,47.409414155096506,57.22993565865222,64.6799864544531,33.52522858110396,123.94175414832374,30.816119200812732,37.5888926515408,14.90010159160176,29.80020318320352,7.45005079580088,6.7727734507280735,4.402302742973247,0.6772773450728073
Barnum West,233.0,1609,228,265,208,106,418,100,98,40,92,16,31,4,3,1.5,1.5,2.5,3,1.0,1.89999998,5282,304.61946232487696,43.16546762589928,50.170390003786444,39.379023097311624,20.068156001514577,79.13669064748201,18.93222264293828,18.553578190079516,7.5728890571753125,17.41764483150322,3.0291556228701246,5.868989019310867,0.7572889057175312,0.5679666792881485
Bear Valley,236.0,2394,445,526,461,235,181,212,42,107,88,33,58,5,1,3.5,3.0,2.5,5,2.5,3.29999995,8176,292.8082191780822,54.42759295499022,64.33463796477496,56.38454011741683,28.742661448140897,22.137964774951076,25.92954990215264,5.136986301369863,13.087084148727984,10.76320939334638,4.036203522504892,7.0939334637964775,0.611545988258317,0.1223091976516634
Belcaro,234.0,1461,373,222,198,262,68,183,17,27,24,24,57,6,0,5.0,4.5,4.5,5,3.5,4.5,4869,300.06161429451635,76.60710618196755,45.59457794208256,40.66543438077634,53.80981721092626,13.965906757034299,37.58471965495995,3.4914766892585747,5.545286506469501,4.9291435613062236,4.9291435613062236,11.70671595810228,1.2322858903265559,0.0
Berkeley,624.0,2989,777,443,397,572,158,365,54,65,60,45,49,2,2,3.5,4.0,3.0,3,4.0,3.5,9130,327.38225629791896,85.1040525739321,48.521358159912374,43.48302300109529,62.65060240963856,17.305585980284775,39.97809419496166,5.914567360350493,7.119386637458927,6.571741511500547,4.928806133625411,5.3669222343921135,0.2190580503833516,0.2190580503833516
CBD,26.0,12179,1307,922,2010,2326,2369,379,1262,670,515,255,140,20,4,2.5,2.0,4.0,5,5.0,3.70000005,4631,2629.8855538760527,282.2284603757288,199.0930684517383,434.0315266681062,502.2673288706543,511.5525804361909,81.83977542647376,272.51133664435326,144.6771755560354,111.20708270351976,55.06370114446124,30.231051608723817,4.318721658389117,0.8637443316778234
Capitol Hill,281.0,13475,2063,1513,2399,1826,1550,816,1668,645,535,282,135,34,9,4.0,2.5,4.0,1,4.0,3.0999999,16120,835.9181141439205,127.97766749379652,93.85856079404468,148.82133995037222,113.27543424317618,96.15384615384616,50.62034739454094,103.47394540942928,40.012406947890824,33.188585607940446,17.49379652605459,8.37468982630273,2.109181141439206,0.5583126550868487
