neighborhood,avgOverallEquityScore,Percent Hispanic,Percent White,Percent Black,Percent Native American,Percent Asian,Percent Hawaiian/Pacific Islander,Percent Other Race,Percent Two or More Races,Median Household Income,Per Capita Income,Median Home Value,Percent Living in Poverty,population_density,percent_less_hs,percent_at_hs,percent_some_college,percent_bachelors,program_count_per1000,crime_per1000
Athmar Park,2.29999995,62.75417985,31.800723,0.91504745,1.36692273,1.98825124,0.0,0.38409399,0.79078174,64019,29999,362114,16.9,2213.0009021727687,24.16962270235408,24.830699774266364,25.4434053531119,25.556272170267658,56.48441030275644,387.37008585630366
Auraria,4.19999981,19.24686192,67.08507671,8.92608089,0.83682008,0.27894003,0.0,0.0,3.62622036,137750,12730,550000,0.0,429.21483799226644,0.0,3.614457831325301,20.481927710843372,75.90361445783132,18.13110181311018,3926.0808926080895
Baker,3.0999999,18.00248524,68.67039453,4.30257844,0.71450761,0.38831935,0.0,0.0,7.92171482,92300,62975,478399,7.85,1667.7741416510125,6.148007590132827,8.72865275142315,12.656546489563567,72.46679316888046,52.96675986331159,1007.9217148182667
Barnum,2.0,72.8073146,21.67287504,0.16931934,3.69116153,0.1523874,0.0,0.11852354,1.38841856,52890,19851,323200,22.0,2958.0549500328407,30.11923276308968,32.4779678589943,20.58061171591498,16.82218766200104,73.9925499492042,459.19403995936335
Barnum West,1.89999998,72.15070049,24.19538054,0.53010223,0.49223779,0.68156002,0.0,0.0,1.95001893,55205,28903,333200,3.7,2819.709855779898,29.655172413793103,30.371352785145888,20.344827586206897,19.628647214854112,44.112078758046195,304.61946232487696
Bear Valley,3.29999995,30.49168297,57.09393346,5.47945205,0.85616438,4.0851272,0.0,0.1834638,1.81017613,65526,39660,389212,6.85,2336.4248798759695,7.537120723047128,23.999354422207876,25.710135571336345,42.75338928340865,28.86497064579256,292.8082191780822
Belcaro,4.5,7.00349148,82.54261655,2.2386527,0.0,3.24501951,0.0,0.69829534,4.27192442,109250,96155,915700,7.5,1614.8123329996165,0.6083650190114068,4.5373891001267435,14.49936628643853,80.35487959442332,48.059149722735675,300.06161429451635
Berkeley,3.5,20.56955093,74.65498357,0.84337349,0.10952903,2.11391019,0.0,0.0,1.70865279,113655,66874,636585,8.5,2355.035423630658,3.1965976128412676,12.15530251063246,15.489093154067774,69.1590067224585,68.3461117196057,327.38225629791896
CBD,3.70000005,12.26516951,70.28719499,6.90995465,0.0,2.78557547,0.0,0.45346577,7.2986396,95973,104187,533235,23.5,4151.027112389333,4.2437102152167325,5.607759927250682,21.248863291906638,68.89966656562595,5.614338155905852,2629.8855538760527
Capitol Hill,3.0999999,13.4057072,73.93920596,3.2133995,0.0,4.24937965,0.0,0.0,5.19230769,62192,57422,339727,9.61666667,9208.595905827086,3.5397029904387334,9.879975588255238,21.217874821997697,65.36244659930833,17.431761786600497,835.9181141439205
Central Park,4.0999999,10.561475,66.87598116,8.99829654,0.54778049,7.82925281,0.13694512,0.24382912,4.80643976,145801,62006,636942,3.05,1287.8397158980051,2.0841847159787497,11.125868410298324,15.6671434409481,71.12280343277483,54.644443702194465,605.8652593607002
Chaffee Park,3.0999999,50.02853881,44.54908676,2.42579909,0.19977169,0.456621,0.0,0.0,2.34018265,77570,44370,367700,7.9,1722.2969478044304,16.580310880829018,24.386873920552677,17.063903281519863,41.968911917098445,74.77168949771689,448.9155251141553
Cheesman Park,3.4000001,4.5820295,86.17568172,3.08448815,0.30174341,1.48636567,0.0,0.10058114,4.26911042,67444,63876,446774,8.46666667,6564.911468813319,0.35842293906810035,5.487578791249536,19.737980472129525,74.41601779755284,3.4644613321412607,484.3540455967814
Cherry Creek,4.0,5.6316117,83.94523958,1.99128811,0.09334163,3.29807094,0.0,0.90230243,4.13814561,114057,104181,935017,4.7,2968.2763984773187,0.9735269000853971,6.848847139197267,14.346712211784798,77.83091374893255,42.47044181705041,633.9452395768512
City Park,3.9000001,9.49596213,78.41826789,8.32637148,0.0,1.475912,0.0,0.0,2.28348649,85429,73969,630200,10.2,1805.6683844405886,1.6300731869594145,6.187624750499002,13.406520292747837,78.77578176979375,47.89752158173211,548.5937064884433
City Park West,2.5,14.61481755,64.83597494,14.79911537,0.22115739,1.99041651,0.0,0.0,3.53851825,68627,54228,644680,13.85,3919.138252296845,5.127630989699955,15.830721003134796,17.21898790864308,61.822660098522164,5.71323258385551,854.2204201990417
Civic Center,4.0,17.06970128,68.314367,8.96159317,0.46230441,3.59174964,0.0,0.0,1.6002845,102520,93375,690600,8.9,3575.4526349394146,0.24865312888520513,13.178615830915872,19.975134687111478,66.59759635308744,15.647226173541963,2924.25320056899
Clayton,2.29999995,51.56566794,32.23699031,10.58797026,0.29285875,2.56814598,0.24780356,0.0,2.50056319,58484,32015,428400,24.4,2225.5251274738675,24.75862068965517,12.275862068965518,20.448275862068964,42.51724137931034,80.42351881054292,545.6183825185853
Cole,2.5,46.77634504,39.66207203,10.38239217,0.17785683,0.06669631,0.0,0.0,2.93463762,77500,37709,455800,15.0,3393.992862527287,17.138211382113823,17.95121951219512,23.577235772357724,41.333333333333336,59.35971542907959,502.44553134726544
College View - South Platte,1.79999995,66.78419453,17.98176292,5.43465046,0.54711246,8.42553191,0.0,0.49848024,0.32826748,76827,26219,342900,13.5,2178.5147642167653,26.588662497478317,34.51684486584628,25.721202340125078,13.173290296550332,24.680851063829788,461.6413373860183
Congress Park,3.5,8.53647881,77.23023154,4.61336828,0.28833552,3.59108781,0.0,0.20096112,5.53953692,72919,64113,663120,10.0,4296.784539526912,3.421342134213421,7.095709570957095,11.08910891089109,78.39383938393838,34.338138925294885,324.0716470074268
Cory - Merrill,3.9000001,5.05338078,84.74495848,0.35587189,0.07117438,5.69395018,0.0,0.14234875,3.93831554,150441,82192,723700,5.2,1941.0754734604586,0.6930693069306931,6.666666666666667,14.422442244224424,78.21782178217822,119.33570581257413,542.5860023724792
Country Club,4.69999981,7.71128933,88.74151758,1.14127082,0.0,0.46267736,0.0,0.0,1.94324491,250001,160709,1238500,2.3,1929.0852408433193,0.5316973415132925,0.5316973415132925,7.934560327198365,91.00204498977506,0.0,255.0894509561999
DIA,3.0999999,15.38461538,26.1019879,41.09766638,0.0,8.98876404,0.0,0.0,8.42696629,59465,13678,247085,6.85,21.28004063333859,5.571428571428571,19.5,42.714285714285715,32.214285714285715,82.97320656871219,7270.09507346586
East Colfax,1.89999998,29.80742132,36.62752466,21.09910756,0.24424612,7.59041804,0.0,0.1033349,4.52794739,64790,35141,364352,17.0,3846.996515030938,17.60133259300389,19.197667962243198,28.12326485285952,35.077734591893396,4.97886331611085,800.4697040864256
Elyria Swansea,2.20000005,83.77532777,11.38259833,3.00953516,0.59594756,0.0,0.0,0.1340882,1.10250298,49562,20563,305645,18.35,999.635167848879,44.65969920978843,27.657405047157784,15.957175630894724,11.725720112159062,50.05959475566151,706.3468414779499
Five Points,2.4000001,18.55496761,62.12353494,11.70565254,0.46486326,1.77538203,0.0,0.69234954,4.68325009,83349,57365,555094,14.9,4444.025764592677,5.002177564860324,12.555216823243951,22.080507683693153,60.36209792820257,29.276494733198163,1097.4234706493248
Fort Logan,2.70000005,20.84877063,65.98181206,2.53733019,0.07858987,3.92949366,0.1347255,0.05613562,6.43314247,88541,43986,447906,12.36666667,1296.7095776040485,9.525993883792049,24.143730886850154,29.5565749235474,36.773700305810394,24.47513191871562,185.4721005950376
Gateway - Green Valley Ranch,2.70000005,44.10052729,19.12392431,27.61989546,0.14837134,6.69040608,0.0,0.57978954,1.73708599,87719,31424,360326,8.4,2299.3558721927125,14.423572744014734,24.64088397790055,32.77716390423573,28.158379373848984,37.80045196192564,223.31027870985415
Globeville,1.60000002,52.88389513,36.17977528,4.49438202,1.07365793,1.52309613,0.0,1.57303371,2.2721598,67917,33169,357600,23.8,751.305909734545,30.834035383319293,23.58887952822241,17.396798652064028,28.18028643639427,42.19725343320849,993.5081148564294
