OBJECTID,Neighborhood Name,Total Population All,Hispanic or Latino,White,Black,Native American,Asian,Hawaiian/Pacific Islander,Other Race,Two or More,Percent Hispanic,Percent White,Percent Black,Percent Native American,Percent Asian,Percent Hawaiian/Pacific Islander,Percent Other Race,Percent Two or More Races,MALE,FEMALE,Age Less Than 5,Age 5 to 9,Age 10 to 14,Age 15 to 17,Age 0 to 9,Age 10 to 19,Age 20 to 29,Age 30 to 39,Age 40 to 49,Age 50 to 59,Age 60 to 69,Age 70 to 79,Age Over 80,Age Less than 18,Age Over 65,Percent Age Less Than 18,Percent Age Over 65,Median Age All,Median Age Male,Median Age Female,Total Population 3 or Higher,Enrolled in School,Nursery or Preschool,KINDERGARTEN,Grades 1 to 4,Grades 5 to 8,Grades 9 to 12,College Undergraduate,Graduate School,Not Enrolled,Total Commuters,Commute Less than 15 Minutes,Commute 15 to 30 Minutes,Commute 30 to 45 Minutes,Commute 45 to 60 Minutes,Commute Over 60 Minutes,Total Population Over 25,Less Than HS Diploma,HS Graduate or Equivalent,Some College or AA,Bachelors or Higher,Total Population 5 and Over,Only English,Spanish,Total Housing Units,Occupied Housing Units,Vacant Housing Units,Owner Occupied Housing Units,Renter Occupied Housing Units,Total Households,Family Households,Married Couple Family,Other Family,Male Householder No Wife Present,Female Householder No Husband Present,Non Family Household,Householder Alone,Householder Not Alone,Household Income Less 10000,Household Income 10000 to 14999,Household Income 15000 to 19999,Household Income 20000 to 24999,Household Income 25000 to 29999,Household Income 30000 to 34999,Household Income 35000 to 39999,Household Income 40000 to 44999,Household Income 45000 to 49999,Household Income 50000 to 59999,Household Income 60000 to 74999,Household Income 75000 to 99999,Household Income 100000 to 124999,Household Income 125000 to 149999,Household Income 150000 to 199999,Household Income Over 200000,Median Household Income,Median Family Income,Per Capita Income,Average Household Income,Average Family Income,Median Earnings,Median Earnings Male,Median Earnings Female,Median Earnings Less HS,Median Earnings HS,Median Earnings Some College,Median Earnings Bachelor,Median Earnings Graduate,Median Year Built,Built 2014 or Later,Built 2010 to 2013,Built 2000 to 2009,Built 1990 to 1999,Built 1980 to 1989,Built 1970 to 1979,Built 1960 to 1969,Built 1950 to 1959,Built 1940 to 1949,Built 1939 or Earlier,Median Contract Rent,Median Gross Rent,Median Home Value,Native Born,Foreign Born FB,Europe FB,Northern Europe FB,Western Europe FB,Southern Europe FB,Eastern Europe FB,Asia FB,Eastern Asia FB,South Central Asia FB,South Eastern Asia FB,Western Asia FB,Africa FB,Eastern Africa FB,Middle Africa FB,Southern Africa FB,Western Africa FB,Oceania FB,Americas FB,Latin America FB,Carribean FB,Central America FB,South America FB,North America FB,Percent Living in Poverty,Percent Families in Poverty,GlobalID,Shape__Area,Shape__Length
157,Capitol Hill,16120,2161,11919,518,0,685,0,0,837,13.4057072,73.93920596,3.2133995,0,4.24937965,0,0,5.19230769,8946,7174,91,24,83,52,115,199,5105,5104,2190,1552,1245,500,110,250,1666,1.55086849,10.33498759,34.65693574,36.06857143,32.94140625,16053,1616,0,0,24,58,85,893,556,14437,10668,2956,4108,2447,635,522,14747,522,1457,3129,9639,16029,14747,812,12488,11879,609,2831,9048,11879,1435,1214,221,71,150,10444,8174,2270,528,476,425,556,446,731,496,690,409,949,1598,1365,774,569,1299,568,62192,89172,57422,78564,128750,49134,56624,42961,0,36133,45074,57032,62225,1956.58568647,0,640,445,482,506,1362,2258,2054,718,4023,952,958,339727,14891,1229,301,16,73,17,195,420,80,223,101,16,41,22,0,19,0,0,467,385,52,251,82,82,9.61666667,1.61030596,41ee2bab-cf4d-4ebe-b372-a6d40cf5714a,18856390.1831055,17422.1920791094
158,University Park,7676,1007,5514,347,43,400,0,0,365,13.11881188,71.83428869,4.52058364,0.5601876,5.21104742,0,0,4.75508077,3575,4101,221,270,464,180,491,802,1958,1102,989,958,630,456,290,1135,1505,14.78634706,19.60656592,34.79401089,36.47356143,32.44117647,7586,2312,97,80,233,363,188,993,358,5274,3490,1052,1475,601,233,129,5287,81,397,1117,3692,7455,6508,512,4186,3765,421,1591,2174,3765,1380,1231,149,39,110,2385,1708,677,268,198,67,66,166,54,168,199,141,426,343,430,106,212,233,688,65663,177094,63862,129374,229716,43214,47352,40451,14488,41821,19490,57196,78484,1966.69314079,36,533,720,141,180,270,831,756,326,393,989,1004,759215,7041,635,52,9,0,0,43,269,182,35,52,0,133,0,99,0,34,0,181,149,0,95,54,32,14.5,4.48598706,41372515-ad70-4ca5-a802-644e1b777195,32457222.7524414,22642.3246679695
159,North Park Hill,11554,1395,5782,2950,30,150,29,111,1107,12.0737407,50.04327506,25.53228319,0.25965034,1.29825169,0.25099533,0.96070625,9.58109746,5393,6161,769,611,770,484,1380,1563,831,2879,1889,1045,807,889,271,2634,2316,22.79729964,20.04500606,36.26154915,35.02743902,37.5598717,11082,2305,172,191,422,576,628,185,131,8777,5782,806,3075,1199,408,294,8320,430,1049,1687,5154,10785,9822,537,4465,4454,11,3739,715,4454,3041,2083,958,263,695,1413,918,495,132,65,53,27,160,127,35,48,162,287,335,513,384,443,644,1039,118424,138610,56874,144099,155118,64877,69633,61711,53398,20841,45182,80458,96848,1943.60332103,0,6,104,38,33,123,218,898,1355,1690,1187,1257,567952,10969,585,61,11,0,0,50,153,74,29,31,19,21,21,0,0,0,0,350,300,0,256,44,50,7.9,8.06491927,878595f7-22a5-48af-b257-768afe4328da,41580737.1923828,28843.3193145107
160,College View - South Platte,8225,5493,1479,447,45,693,0,41,27,66.78419453,17.98176292,5.43465046,0.54711246,8.42553191,0,0.49848024,0.32826748,4485,3740,843,737,655,338,1580,1224,1190,1434,996,685,752,200,164,2573,1002,31.28267477,12.18237082,31.1,29.3,31.5,7755,2009,134,188,523,119,596,264,185,5746,4244,681,1221,1912,132,298,4957,1318,1711,1275,653,7382,2439,4106,2757,2606,151,1203,1403,2606,2057,1224,833,278,555,549,404,145,173,36,79,81,85,125,67,83,66,351,138,565,156,164,111,326,76827,66982,26219,89091,74565,37254,39551,33135,34849,28750,47113,30366,0,1975,0,22,492,132,373,730,334,238,327,109,1287,1312,342900,5180,3045,50,37,0,0,13,724,26,46,541,111,122,122,0,0,0,0,2149,2149,0,2149,0,0,13.5,10.01458435,5834aa0b-18ce-4e17-ac38-e83db2e8f39c,40683407.1235352,47247.3796486793
161,Harvey Park South,8949,4292,3638,313,6,328,179,132,61,47.960666,40.65258688,3.4975975,0.0670466,3.66521399,2.00022349,1.47502514,0.68164041,4578,4371,539,384,584,385,923,1202,976,1524,944,1576,999,430,375,1892,1441,21.14202704,16.10235781,38.11122047,36.44776119,41.60169492,8674,1927,157,87,275,411,665,231,101,6747,3767,698,1451,1016,405,197,6262,1237,1286,1689,2050,8410,6380,1418,3675,3556,119,2104,1452,3556,1992,1292,700,241,459,1564,1263,301,323,127,252,14,160,46,53,72,96,228,487,392,531,207,333,235,72535,101141,37054,99560,120838,45466,52128,34382,13125,15500,47342,71608,70362,1957.60841507,0,52,72,248,296,528,342,1937,76,124,998,1001,397863,8054,895,39,0,0,0,39,336,5,109,222,0,0,0,0,0,0,34,486,486,0,456,30,0,10,9.47509281,9e66a907-6c5a-406d-8082-b9042d3be160,37774962.5029297,26669.2667622123
162,Regis,4740,1184,3145,73,13,137,55,0,133,24.97890295,66.35021097,1.54008439,0.2742616,2.89029536,1.16033755,0,2.80590717,2032,2708,288,124,128,108,412,755,986,844,480,380,487,364,32,648,876,13.67088608,18.48101266,33.3,33.7,32.4,4520,1655,57,12,105,122,133,1146,80,2865,1993,510,912,329,130,112,2976,182,709,671,1414,4452,3925,283,1808,1735,73,1155,580,1735,828,708,120,23,97,907,607,300,104,114,26,23,66,9,15,148,94,100,81,177,177,138,263,200,86017,121667,40183,105564,135703,56125,56214,56036,44306,36791,46318,67679,92569,1955,0,95,32,108,108,173,209,383,55,645,1202,1286,466000,4431,309,141,8,13,9,111,133,87,0,46,0,9,9,0,0,0,0,26,26,0,18,8,0,19,8.57487923,7af81307-dd6c-491f-b439-715cfe834cb4,28463561.2729492,30889.9809368388
163,Wellshire,3325,533,2739,0,0,44,9,0,0,16.03007519,82.37593985,0,0,1.32330827,0.27067669,0,0,1624,1701,121,265,156,205,386,463,181,297,374,624,397,341,262,747,1170,22.46616541,35.18796992,47.7,47.8,47,3287,883,93,46,211,114,258,131,30,2404,1326,299,517,388,57,65,2397,48,224,269,1856,3204,2816,324,1406,1300,106,1216,84,1300,1055,912,143,75,68,245,240,5,12,0,0,37,0,31,17,26,32,91,83,151,85,151,138,446,138500,152443,72657,184860,205626,73090,93854,55139,0,0,54531,93750,80893,1957,0,30,18,19,16,199,130,971,15,8,1921,2097,771300,3133,192,42,8,0,9,25,27,27,0,0,0,0,0,0,0,0,0,123,99,0,99,0,24,3.2,2.08530806,79655cab-7625-444d-8922-94ac25f6531b,25886135.1513672,21790.0431497576
164,Platt Park,6613,711,5001,54,0,96,0,20,731,10.75154998,75.62377136,0.81657342,0,1.45168607,0,0.3024346,11.05398458,3196,3417,619,541,238,41,1160,291,764,1534,1049,788,619,256,152,1439,829,21.76016936,12.53591411,36.40384615,37.82832618,35.21137725,6259,1547,374,151,246,238,41,155,342,4712,2908,766,993,910,152,87,4997,62,280,736,3919,5994,5549,185,3120,2968,152,1915,1053,2968,1659,1373,286,68,218,1309,811,498,203,45,0,63,6,94,23,89,43,115,164,342,329,192,309,951,122567,163950,73086,165258,196550,75204,89610,55268,0,20254,57580,71861,95642,1939,0,399,258,8,64,15,60,267,101,1948,1248,1353,686172,6299,314,137,91,46,0,0,85,61,11,13,0,0,0,0,0,0,16,76,48,0,3,45,28,6.75,5.22476842,bfc918cf-fcc1-4149-9f0b-a83b83f52f02,22829682.8676758,20004.9409061011
165,Highland,11248,2073,8223,69,203,216,0,26,438,18.4299431,73.10633001,0.61344239,1.80476529,1.92034139,0,0.2311522,3.8940256,5470,5778,418,306,339,204,724,635,3093,3377,1538,844,520,228,289,1267,954,11.26422475,8.48150782,33.12348238,34.15466984,32.10141509,10904,1387,59,76,186,263,316,229,258,9517,5789,1225,2561,1316,488,199,9016,585,616,1045,6770,10830,9483,1022,6271,6004,267,2241,3763,6004,1723,1258,465,222,243,4281,2734,1547,267,30,132,251,84,163,89,160,184,485,322,765,451,720,662,1239,103880,134353,75904,139115,160120,63256,77178,56962,18604,13716,51345,77097,96036,1994.34940945,31,1944,898,508,231,229,124,308,250,1748,1188,1190,605346,10550,698,110,13,48,9,40,103,85,12,6,0,16,16,0,0,0,0,469,377,0,355,22,92,7.73333333,1.51511391,859afb78-8053-4562-b4cb-a71c7010d026,32144178.4057617,23553.6490890724
166,Union Station,8628,804,6860,52,0,707,0,0,205,9.31849791,79.50857673,0.60268892,0,8.19425127,0,0,2.37598516,4846,3782,2,59,38,49,61,109,2713,2163,702,1008,1000,513,359,148,1656,1.71534539,19.19332406,35.95423024,36.92503536,34.12149533,8628,806,2,11,48,38,49,252,406,7822,4870,1161,1939,1097,440,233,7635,128,323,1147,6037,8626,7923,262,7031,5605,1426,1551,4054,5605,1402,1188,214,192,22,4203,2966,1237,221,174,141,56,41,34,141,106,159,346,605,975,439,373,473,1321,94961,154167,103118,157360,236543,70918,78000,54864,0,13659,50931,71168,129971,2006.88520408,47,3054,1764,431,517,353,32,91,61,681,1268,1317,732075,7802,826,120,39,17,30,34,472,317,105,50,0,0,0,0,0,0,18,216,199,0,118,81,17,10.8,3.63465679,89fca4f2-bef9-4ac3-882e-81ccc10329e7,12227317.4560547,14662.8780659439
